date, pm10, o3, no2, so2, co
2020/1/9, 16, 17, 18, , 
2020/1/10, 13, 19, 12, , 
2020/1/11, 9, 18, 15, , 
2020/1/12, 9, 22, 16, 1, 
2020/1/13, 9, 20, 20, , 
2020/1/14, 10, 20, 18, , 
2020/1/15, 15, 21, 23, , 
2020/1/16, 19, 28, 13, , 
2020/1/17, 14, 25, 13, , 
2020/1/18, 10, 33, 5, , 
2020/1/19, 10, 32, 2, , 
2020/1/20, 9, 38, 3, , 
2020/1/21, 8, 33, 6, , 
2020/1/22, 21, 31, 13, , 
2020/1/23, 43, 17, 21, , 
2020/1/24, 60, 20, 13, , 
2020/1/25, 67, 23, 9, , 
2020/1/26, 53, 21, 9, , 
2020/1/27, 21, 22, 6, , 
2020/1/28, 11, 16, 20, , 
2020/1/29, 11, 20, 15, , 
2020/1/30, 12, 22, 15, , 
2020/1/31, 9, 20, 16, , 
2020/2/1, 8, 23, 9, , 
2020/2/2, 10, 18, 14, , 
2020/2/3, 9, 22, 8, , 
2020/2/4, 34, 24, 13, , 
2020/2/5, 23, 29, 19, , 
2020/2/6, 10, 26, 23, , 
2020/2/7, 13, 23, 21, , 
2020/2/8, 15, 33, 11, , 
2020/2/9, 19, 23, 12, , 
2020/2/10, 14, 26, 13, , 
2020/2/11, 14, 24, 10, , 
2020/2/12, 18, 20, 17, , 
2020/2/13, 14, 23, 18, , 
2020/2/14, 21, 31, 14, , 
2020/2/15, 24, 30, 8, , 
2020/2/16, 18, 26, 16, , 
2020/2/17, 18, 26, 15, 1, 
2020/2/18, 17, 22, 18, , 
2020/2/19, 14, 15, 21, , 
2020/2/20, 17, 33, 20, , 
2020/2/21, 21, 35, 18, , 
2020/2/22, 21, 33, 21, , 
2020/2/23, 24, 28, 28, , 
2020/2/24, 22, 24, 15, , 
2020/2/25, 29, 32, 9, , 
2020/2/26, 24, 29, 6, , 
2020/2/27, 19, 27, 12, , 
2020/2/28, 19, 30, 9, , 
2020/2/29, 35, 32, 7, , 
2020/3/1, 52, 34, 4, , 
2020/3/2, 17, 30, 8, 1, 
2020/3/4, 9, 30, 13, , 
2020/3/5, 16, 31, 6, , 
2020/3/6, 8, 33, 7, , 
2020/3/7, 7, 34, 13, , 
2020/3/8, 9, 31, 10, , 
2020/3/9, 12, 25, 14, , 
2020/3/10, 15, 29, 24, , 
2020/3/11, 23, 36, 31, , 
2020/3/12, 31, 26, 22, , 
2020/3/13, 23, 34, 14, , 
2020/3/14, 20, 37, 10, , 
2020/3/15, 14, 35, 3, , 
2020/3/16, 14, 31, 8, , 
2020/3/17, 19, 37, 15, , 
2020/3/18, 20, 40, 15, , 
2020/3/19, 16, 34, 9, , 
2020/3/20, 13, 40, 4, , 
2020/3/21, 12, 37, 2, , 
2020/3/22, 19, 34, 5, , 
2020/3/23, 18, 37, 3, , 
2020/3/24, 20, 33, 8, , 
2020/3/25, 16, 34, 6, , 
2020/3/26, 9, 35, 8, , 
2020/3/27, 10, 36, 6, , 
2020/3/28, 10, 43, 7, , 
2020/3/29, 11, 29, 6, , 
2020/3/30, 14, 30, 7, , 
2020/3/31, 9, 33, 3, , 
2019/10/1, 17, 30, 10, 1, 
2019/10/2, 21, 29, 12, 1, 
2019/10/3, 14, 34, 19, 1, 
2019/10/4, 14, 24, 13, , 
2019/10/5, 16, 26, 9, , 
2019/10/6, 19, 29, 16, 1, 
2019/10/7, 16, 30, 18, 1, 
2019/10/8, 24, 25, 12, , 
2019/10/9, 21, 21, 13, , 
2019/10/10, 15, 21, 16, , 
2019/10/11, 20, 30, 12, , 
2019/10/12, 20, 32, 6, , 
2019/10/13, 15, 33, 13, 1, 
2019/10/14, 23, 23, 10, , 
2019/10/15, 29, 32, 11, 1, 
2019/10/16, 9, 36, 15, 1, 
2019/10/17, 13, 28, 11, 1, 
2019/10/18, 16, 31, 17, 1, 
2019/10/19, 16, 29, 8, , 
2019/10/20, 20, 19, 13, , 
2019/10/21, 13, 24, 9, , 
2019/10/22, 9, 27, 16, , 
2019/10/23, 12, 21, 15, , 
2019/10/24, 12, 21, 16, , 
2019/10/25, 9, 29, 22, , 
2019/10/26, 15, 30, 16, , 
2019/10/27, 15, 24, 18, , 
2019/10/28, 17, 18, 19, , 
2019/10/29, 20, 23, 23, , 
2019/10/30, 27, 20, 14, , 
2019/10/31, 19, 20, 15, , 
2019/11/1, 16, 22, 10, , 
2019/11/2, 14, 28, 4, , 
2019/11/3, 8, 26, 6, , 
2019/11/4, 10, 27, 5, , 
2019/11/5, 8, 22, 6, , 
2019/11/6, 9, 19, 10, , 
2019/11/7, 8, 23, 7, , 
2019/11/8, 8, 23, 4, , 
2019/11/9, 7, 21, 6, , 
2019/11/10, 5, 19, 6, , 
2019/11/11, 5, 21, 10, , 
2019/11/12, 9, 19, 14, , 
2019/11/13, 11, 19, 17, , 
2019/11/14, 11, 18, 12, , 
2019/11/15, 9, 20, 6, , 
2019/11/16, 7, 22, 6, , 
2019/11/17, 5, 17, 11, , 
2019/11/18, 7, 18, 15, , 
2019/11/19, 10, 16, 23, , 
2019/11/20, 14, 20, 15, , 
2019/11/21, 11, 20, 16, , 
2019/11/22, 8, 27, 5, , 
2019/11/23, 7, 26, 8, , 
2019/11/24, 5, 21, 14, , 
2019/11/25, 8, 21, 16, , 
2019/11/26, 10, 24, 16, , 
2019/11/27, 9, 24, 8, , 
2019/11/28, 8, 22, 14, , 
2019/11/29, 8, 20, 17, , 
2019/11/30, 10, 25, 14, , 
2019/12/1, 10, 13, 20, , 
2019/12/2, 11, 20, 12, , 
2019/12/3, 15, 22, 7, 1, 
2019/12/4, 11, 19, 12, , 
2019/12/5, 5, 21, 14, 1, 
2019/12/6, 8, 17, 12, 1, 
2019/12/7, 10, 11, 12, 1, 
2019/12/8, 10, 21, 7, 1, 
2019/12/9, 6, 19, 20, 1, 
2019/12/10, 10, 18, 13, 1, 
2019/12/11, 14, 23, 6, 1, 
2019/12/12, 9, 27, 5, 1, 
2019/12/13, 4, 26, 4, 1, 
2019/12/14, 6, 25, 11, 1, 
2019/12/15, 5, 11, 26, 1, 
2019/12/16, 11, 15, 22, , 
2019/12/17, 35, 18, 19, , 
2019/12/18, 88, 16, 22, , 
2019/12/19, 62, 24, 17, , 
2019/12/20, 31, 27, 10, , 
2019/12/21, 10, 33, 2, , 
2019/12/22, 12, 28, 13, , 
2019/12/23, 9, 21, 14, 1, 
2019/12/24, 11, 18, 16, 1, 
2019/12/25, 10, 20, 16, , 
2019/12/26, 8, 18, 14, 1, 
2019/12/27, 9, 19, 23, 1, 
2019/12/28, 12, 13, 17, , 
2019/12/29, 15, , , , 
2019/7/1, 51, 42, 20, , 
2019/7/2, 41, 32, 18, , 
2019/7/3, 31, 44, 24, 1, 
2019/7/5, 41, 44, 25, 2, 
2019/7/6, 46, 37, 9, , 
2019/7/7, 56, 42, 10, , 
2019/7/8, 50, 36, 13, , 
2019/7/9, 17, 38, 10, 1, 
2019/7/10, 20, 47, 23, 1, 
2019/7/11, 28, 42, 14, 1, 
2019/7/12, 37, 44, 14, , 
2019/7/13, 25, 37, 11, , 
2019/7/14, 19, 42, 8, , 
2019/7/15, 23, 45, 10, 1, 
2019/7/16, 24, 43, 13, , 
2019/7/17, 27, 47, 10, , 
2019/7/18, 28, 39, 12, 1, 
2019/7/19, 31, 43, 14, 1, 
2019/7/20, 66, 38, 8, 1, 
2019/7/21, 999, 37, 27, 1, 
2019/7/22, 152, 42, 24, 1, 
2019/7/23, 48, 38, 20, 1, 
2019/7/24, 45, 31, 23, 1, 
2019/7/25, 38, 39, 20, 1, 
2019/7/26, 51, 36, 8, , 
2019/7/27, 19, 34, 6, 1, 
2019/7/28, 14, 33, 12, 1, 
2019/7/29, 13, 35, 14, 1, 
2019/7/30, 24, 33, 7, , 
2019/7/31, 24, 42, 9, , 
2019/8/1, 19, 52, 13, 1, 
2019/8/2, 21, 49, 9, 1, 
2019/8/3, 21, 46, 11, 1, 
2019/8/4, 20, 43, 24, 1, 
2019/8/5, 23, 42, 12, , 
2019/8/6, 21, 37, 8, , 
2019/8/7, 30, 35, 11, 1, 
2019/8/8, 33, 37, 15, 1, 
2019/8/9, 33, 33, 9, , 
2019/8/10, 31, 36, 7, 1, 
2019/8/11, 21, 39, 8, , 
2019/8/12, 17, 37, 7, , 
2019/8/13, 13, 38, 9, 1, 
2019/8/14, 16, 34, 8, 1, 
2019/8/15, 19, 31, 6, , 
2019/8/16, 15, 34, 11, 1, 
2019/8/17, 15, 34, 11, 1, 
2019/8/18, 17, 28, 7, , 
2019/8/19, 19, 37, 6, , 
2019/8/20, 13, 40, 8, 1, 
2019/8/21, 15, 45, 8, 1, 
2019/8/22, 16, 44, 16, 1, 
2019/8/23, 14, 48, 25, 2, 
2019/8/24, 19, 45, 10, 1, 
2019/8/25, 19, 38, 21, 2, 
2019/8/26, 20, 29, 15, 1, 
2019/8/27, 19, 38, 15, 1, 
2019/8/28, 18, 45, 13, 1, 
2019/8/29, 19, 51, 17, 1, 
2019/8/30, 18, 50, 10, 1, 
2019/8/31, 19, 41, 10, 1, 
2019/9/1, 16, 34, 11, 1, 
2019/9/2, 15, 38, 10, 1, 
2019/9/3, 15, 43, 19, 2, 
2019/9/4, 18, 37, 13, 1, 
2019/9/5, 20, 34, 14, 1, 
2019/9/6, 18, 39, 11, 1, 
2019/9/7, 17, 32, 9, , 
2019/9/8, 14, 31, 11, 1, 
2019/9/9, 11, 28, 12, , 
2019/9/10, 12, 36, 5, , 
2019/9/11, 7, 43, 15, 1, 
2019/9/12, 11, 45, 16, , 
2019/9/13, 18, 51, 8, , 
2019/9/14, 17, 41, 9, , 
2019/9/15, 18, 38, 19, , 
2019/9/16, 19, 35, 28, 1, 
2019/9/17, 24, 45, 21, 1, 
2019/9/18, 30, 41, 16, , 
2019/9/19, 26, 43, 14, , 
2019/9/20, 19, 30, 10, , 
2019/9/21, 19, 35, 7, , 
2019/9/22, 17, 27, 10, , 
2019/9/23, 13, 36, 12, 1, 
2019/9/24, 13, 31, 12, , 
2019/9/25, 20, 31, 15, 1, 
2019/9/26, 17, 30, 17, 3, 
2019/9/27, 20, 29, 13, , 
2019/9/28, 18, 36, 10, , 
2019/9/29, 13, 24, 14, , 
2019/9/30, 21, 39, 14, , 
2019/5/5, 19, 41, 5, , 
2019/5/6, 18, 40, 8, , 
2019/5/7, 29, 34, 16, , 
2019/5/8, 40, 37, 13, , 
2019/5/9, 51, 40, 12, , 
2019/5/10, 32, 39, 19, 1, 
2019/5/11, 31, 34, 11, , 
2019/5/12, 20, 37, 8, , 
2019/5/13, 24, 41, 11, , 
2019/5/14, 36, 43, 18, 1, 
2019/5/15, 35, 45, 14, , 
2019/5/16, 30, 47, 21, 1, 
2019/5/17, 36, 37, 14, , 
2019/5/18, 16, 38, 8, , 
2019/5/19, 12, 36, 12, 2, 
2019/5/20, 11, 36, 13, 1, 
2019/5/21, 16, 41, 20, 1, 
2019/5/22, 30, 42, 19, 1, 
2019/5/23, 44, 40, 20, 1, 
2019/5/24, 30, 29, 25, , 
2019/5/25, 11, 26, 14, , 
2019/5/26, 11, 31, 12, , 
2019/5/27, 15, 32, 11, , 
2019/5/28, 18, 31, 8, , 
2019/5/29, 22, 32, 9, , 
2019/5/30, 24, 34, 16, 1, 
2019/5/31, 29, 33, 18, 1, 
2019/6/1, 31, 41, 12, 1, 
2019/6/2, 20, 45, 13, 1, 
2019/6/3, 28, 44, 18, 1, 
2019/6/4, 37, 43, 19, , 
2019/6/5, 48, 37, 15, , 
2019/6/6, 44, 33, 8, , 
2019/6/7, 34, 34, 9, , 
2019/6/8, 35, 34, 10, , 
2019/6/9, 17, 38, 9, , 
2019/6/10, 31, 44, 9, , 
2019/6/11, 28, 26, 12, , 
2019/6/12, 12, 35, 12, , 
2019/6/13, 15, 34, 13, , 
2019/6/14, 21, 40, 12, , 
2019/6/15, 44, 36, 14, , 
2019/6/16, 30, 39, 11, 1, 
2019/6/17, 26, 36, 20, 1, 
2019/6/18, 33, 42, 17, 1, 
2019/6/19, 27, 37, 20, , 
2019/6/20, 31, 33, 12, , 
2019/6/21, 24, 35, 9, , 
2019/6/22, 23, 41, 10, 1, 
2019/6/23, 34, 42, 10, 1, 
2019/6/24, 51, 41, 10, , 
2019/6/26, 27, 43, 11, , 
2019/6/27, 25, 38, 30, 1, 
2019/6/28, 41, 44, 41, 1, 
2019/6/29, 55, 85, 24, 1, 
2019/6/30, 45, 44, 19, 1, 
2019/1/1, 16, 23, 13, 3, 
2019/1/2, 12, 14, 19, 1, 
2019/1/3, 12, 18, 25, 1, 
2019/1/4, 17, 19, 10, 3, 
2019/1/5, 19, 42, 11, 3, 
2019/1/6, 11, 15, 15, , 
2019/1/7, 12, 17, 10, , 
2019/1/8, 18, 20, 11, , 
2019/1/9, 13, 27, 14, , 
2019/1/10, 10, 18, 15, 1, 
2019/1/11, 13, 22, 11, 1, 
2019/1/12, 15, 23, 5, , 
2019/1/14, 9, 16, 18, , 
2019/1/15, 15, 25, 18, 1, 
2019/1/16, 18, 21, 16, , 
2019/1/17, 22, 16, 12, , 
2019/1/18, 20, 20, 14, , 
2019/1/19, 17, 20, 15, , 
2019/1/20, 16, 16, 17, 1, 
2019/1/21, 12, 18, 12, , 
2019/1/22, 12, 24, 7, , 
2019/1/23, 10, 33, 8, , 
2019/1/24, 6, 26, 29, 1, 
2019/1/25, 13, 22, 13, 2, 
2019/1/26, 16, 28, 9, 1, 
2019/1/27, 10, 27, 11, 1, 
2019/1/28, 8, 23, 13, 1, 
2019/1/29, 7, 28, 9, , 
2019/1/30, 9, 21, 12, 1, 
2019/1/31, 9, 25, 10, , 
2018/10/1, 21, 38, 12, , 
2018/10/2, 27, 32, 17, , 
2018/10/3, 25, 37, 19, , 
2018/10/4, 19, 35, 15, , 
2018/10/5, 19, 38, 14, , 
2018/10/6, 20, 37, 17, , 
2018/10/7, 18, 31, 9, , 
2018/10/8, 12, 35, 10, , 
2018/10/9, 10, 27, 15, , 
2018/10/10, 10, 31, 21, , 
2018/10/11, 17, 27, 18, , 
2018/10/12, 22, 20, 19, , 
2018/10/13, 24, 34, 9, , 
2018/10/14, 25, 24, 12, , 
2018/10/15, 19, 29, 13, , 
2018/10/16, 7, 28, 12, , 
2018/10/17, 11, 35, 13, , 
2018/10/18, 15, 33, 12, , 
2018/10/19, 16, 36, 15, , 
2018/10/20, 8, 34, 15, , 
2018/10/21, 1, 32, 15, , 
2018/10/22, 1, 25, 16, , 
2018/10/23, 1, 22, 9, , 
2018/10/25, 1, 18, 29, 1, 
2018/10/26, 1, 14, 16, , 
2018/10/27, 1, 21, 12, , 
2018/10/28, 1, 21, 6, , 
2018/10/29, 1, 23, 15, , 
2018/10/30, 1, 24, 24, , 
2018/10/31, 1, 23, 15, , 
2018/11/2, 2, 20, 12, , 
2018/11/3, 2, 20, 13, , 
2018/11/4, 2, 30, 19, , 
2018/11/5, 6, 24, 11, , 
2018/11/6, 8, 23, 18, 1, 
2018/11/7, 8, 15, 24, , 
2018/11/8, 12, 24, 16, , 
2018/11/9, 18, 25, 10, 2, 
2018/11/10, 8, 24, 14, 4, 
2018/11/11, 11, 24, 17, 3, 
2018/11/12, 18, 23, 14, , 
2018/11/13, 26, 27, 14, , 
2018/11/14, 25, 20, 15, , 
2018/11/15, 20, 15, 18, , 
2018/11/16, 11, 21, 12, , 
2018/11/17, 19, 29, 8, , 
2018/11/18, 11, 22, 14, , 
2018/11/19, 11, 15, 19, , 
2018/11/20, 15, 18, 13, , 
2018/11/21, 12, 19, 16, , 
2018/11/22, 9, 21, 20, , 
2018/11/23, 12, 17, 9, , 
2018/11/24, 11, 21, 7, , 
2018/11/25, 8, 17, 12, , 
2018/11/26, 9, 21, 11, , 
2018/11/27, 8, 17, 16, , 
2018/11/28, 10, 14, 27, , 
2018/11/29, 17, 97, 17, 2, 
