Fecha,Estado_Actual,diadelasemana,findesemana
2020-05-11,1.858583438640396,0,0
2020-05-12,1.858583438640396,1,0
2020-05-13,1.858583438640396,2,0
2020-05-14,1.858583438640396,3,0
2020-05-15,1.858583438640396,4,0
2020-05-16,1.858583438640396,5,1
2020-05-17,1.858583438640396,6,1
2020-05-18,1.858583438640396,0,0
2020-05-19,1.858583438640396,1,0
2020-05-20,1.858583438640396,2,0
2020-05-21,1.858583438640396,3,0
2020-05-22,1.858583438640396,4,0
2020-05-23,1.858583438640396,5,1
2020-05-24,1.858583438640396,6,1
2020-05-25,1.858583438640396,0,0
2020-05-26,1.858583438640396,1,0
2020-05-27,1.858583438640396,2,0
2020-05-28,1.858583438640396,3,0
2020-05-29,1.858583438640396,4,0
2020-05-30,1.858583438640396,5,1
2020-05-31,1.858583438640396,6,1
2020-06-01,1.858583438640396,0,0
2020-06-02,1.858583438640396,1,0
2020-06-03,1.858583438640396,2,0
2020-06-04,1.7116707543219478,3,0
2020-06-05,1.703985582794674,4,0
2020-06-06,1.7211559305641249,5,1
2020-06-07,1.7250907977070844,6,1
2020-06-08,1.7323813523729525,0,0
2020-06-09,1.799830057529705,1,0
2020-06-10,1.7934895210773767,2,0
2020-06-11,1.7748986662742632,3,0
2020-06-12,1.8118214556230317,4,0
2020-06-13,1.6262238583848985,5,1
2020-06-14,1.715590032264708,6,1
2020-06-15,1.7869435242789045,0,0
2020-06-16,1.7828592728523913,1,0
2020-06-17,1.8101871812788985,2,0
2020-06-18,1.8364850656754876,3,0
2020-06-19,1.8609324758842443,4,0
2020-06-20,1.858700132175495,5,1
2020-06-21,1.7574594507788661,6,1
2020-06-22,1.8640231517742172,0,0
2020-06-23,1.8589112542852189,1,0
2020-06-24,1.6875693768464914,2,0
2020-06-25,1.8676397693772664,3,0
2020-06-26,1.9208875266873617,4,0
2020-06-27,1.8094777003786455,5,1
2020-06-28,1.7382003117053564,6,1
2020-06-29,1.8735778827057386,0,0
2020-06-30,1.8962133123689728,1,0
2020-07-01,1.9191260006869402,2,0
