fecha,intensidad,ocupacion,carga
2018-11-29,226.0,5.0,20.0
2018-11-30,240.0,5.0,20.0
2018-12-01,187.0,3.0,14.0
2018-12-02,151.0,2.0,11.0
2018-12-03,208.0,3.0,17.0
2018-12-04,211.0,4.0,18.0
2018-12-05,220.0,4.0,19.0
2018-12-06,137.0,2.0,10.0
2018-12-07,181.0,3.0,14.0
2018-12-08,138.0,2.0,10.0
2018-12-09,134.0,2.0,10.0
2018-12-10,211.0,4.0,18.0
2018-12-11,211.0,4.0,18.0
2018-12-12,212.0,4.0,18.0
2018-12-13,223.0,4.0,19.0
2018-12-14,247.0,4.0,20.0
2018-12-15,241.0,3.0,18.0
2018-12-16,209.0,3.0,15.0
2018-12-17,244.0,4.0,20.0
2018-12-18,215.0,4.0,18.0
2018-12-19,222.0,4.0,19.0
2018-12-20,234.0,4.0,19.0
2018-12-21,247.0,4.0,20.0
2018-12-22,177.0,2.0,13.0
2018-12-23,147.0,2.0,11.0
2018-12-24,149.0,2.0,11.0
2018-12-25,122.0,1.0,9.0
2018-12-26,177.0,3.0,15.0
2018-12-27,187.0,3.0,15.0
2018-12-28,192.0,3.0,15.0
2018-12-29,152.0,2.0,11.0
2018-12-30,134.0,2.0,10.0
2018-12-31,140.0,2.0,11.0
2019-01-01,123.0,1.0,9.0
2019-01-02,171.0,3.0,14.0
2019-01-03,184.0,3.0,15.0
2019-01-04,196.0,3.0,16.0
2019-01-05,156.0,2.0,11.0
2019-01-06,136.0,2.0,10.0
2019-01-07,122.0,2.0,9.0
2019-01-08,199.0,3.0,17.0
2019-01-09,200.0,3.0,17.0
2019-01-10,209.0,4.0,17.0
2019-01-11,219.0,4.0,18.0
2019-01-12,168.0,2.0,13.0
2019-01-13,140.0,2.0,10.0
2019-01-14,197.0,3.0,16.0
2019-01-15,199.0,3.0,17.0
2019-01-16,191.0,3.0,16.0
2019-01-17,202.0,3.0,17.0
2019-01-18,218.0,4.0,18.0
2019-01-19,166.0,2.0,12.0
2019-01-20,139.0,2.0,10.0
2019-01-21,184.0,3.0,15.0
2019-01-22,184.0,3.0,16.0
2019-01-23,188.0,3.0,16.0
2019-01-24,192.0,3.0,16.0
2019-01-25,205.0,3.0,17.0
2019-01-26,153.0,2.0,12.0
2019-01-27,126.0,2.0,9.0
2019-01-28,181.0,3.0,15.0
2019-01-29,184.0,3.0,16.0
2019-01-30,188.0,3.0,16.0
2019-01-31,196.0,3.0,16.0
2019-02-01,208.0,3.0,17.0
2019-02-02,155.0,2.0,12.0
2019-02-03,130.0,2.0,10.0
2019-02-04,191.0,3.0,16.0
2019-02-05,189.0,3.0,16.0
2019-02-06,199.0,3.0,17.0
2019-02-07,208.0,4.0,17.0
2019-02-08,221.0,4.0,18.0
2019-02-09,168.0,2.0,12.0
2019-02-10,142.0,2.0,10.0
2019-02-11,197.0,3.0,17.0
2019-02-12,200.0,3.0,17.0
2019-02-13,204.0,3.0,17.0
2019-02-14,214.0,4.0,18.0
2019-02-15,223.0,4.0,18.0
2019-02-16,170.0,2.0,13.0
2019-02-17,145.0,2.0,11.0
2019-02-18,196.0,3.0,16.0
2019-02-19,198.0,3.0,17.0
2019-02-20,203.0,3.0,17.0
2019-02-21,209.0,4.0,17.0
2019-02-22,221.0,4.0,18.0
2019-02-23,169.0,2.0,13.0
2019-02-24,144.0,2.0,11.0
2019-02-25,198.0,3.0,17.0
2019-02-26,203.0,3.0,17.0
2019-02-27,207.0,4.0,17.0
2019-02-28,217.0,4.0,18.0
2019-03-01,212.0,3.0,17.0
2019-03-02,162.0,2.0,12.0
2019-03-03,141.0,2.0,10.0
2019-03-04,189.0,3.0,16.0
2019-03-05,204.0,3.0,17.0
2019-03-06,207.0,4.0,17.0
2019-03-07,212.0,4.0,18.0
2019-03-08,221.0,4.0,18.0
2019-03-09,171.0,2.0,13.0
2019-03-10,147.0,2.0,11.0
2019-03-11,200.0,3.0,17.0
2019-03-12,212.0,4.0,18.0
2019-03-13,203.0,3.0,17.0
2019-03-14,212.0,4.0,18.0
2019-03-15,225.0,4.0,19.0
2019-03-16,169.0,2.0,13.0
2019-03-17,145.0,2.0,11.0
2019-03-18,200.0,3.0,17.0
2019-03-19,207.0,4.0,17.0
2019-03-20,207.0,4.0,17.0
2019-03-21,211.0,4.0,18.0
2019-03-22,207.0,3.0,17.0
2019-03-23,169.0,2.0,13.0
2019-03-24,145.0,2.0,11.0
2019-03-25,200.0,3.0,17.0
2019-03-26,202.0,3.0,17.0
2019-03-27,207.0,4.0,17.0
2019-03-28,213.0,4.0,18.0
2019-03-29,227.0,4.0,19.0
2019-03-30,172.0,2.0,13.0
2019-03-31,151.0,2.0,11.0
2019-04-01,202.0,3.0,17.0
2019-04-02,172.0,3.0,15.0
2019-04-03,224.0,4.0,19.0
2019-04-04,215.0,4.0,18.0
2019-04-05,229.0,4.0,19.0
2019-04-06,174.0,2.0,13.0
2019-04-07,149.0,2.0,11.0
2019-04-08,204.0,3.0,17.0
2019-04-09,206.0,4.0,17.0
2019-04-10,210.0,4.0,18.0
2019-04-11,218.0,4.0,18.0
2019-04-12,216.0,4.0,17.0
2019-04-13,158.0,2.0,12.0
2019-04-14,131.0,2.0,10.0
2019-04-15,172.0,3.0,14.0
2019-04-16,170.0,3.0,14.0
2019-04-17,167.0,3.0,13.0
2019-04-18,100.0,1.0,7.0
2019-04-19,92.0,1.0,7.0
2019-04-20,109.0,1.0,8.0
2019-04-21,115.0,1.0,8.0
2019-04-22,189.0,3.0,15.0
2019-04-23,202.0,3.0,17.0
2019-04-24,207.0,4.0,17.0
2019-04-25,214.0,4.0,18.0
2019-04-26,244.0,4.0,21.0
