date,pm10,no2,year,month,day,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,week,season,season_name,estado_trafico,diadelasemana,findesemana
2018-04-16,27.0,31.0,2018,4,16,15.0,0.0,13.0,13.0,7.0,1.7,7.8,0.0,1019.6,1011.2,16,2,Spring,2.042472566511408,0,0
2018-04-17,23.0,26.0,2018,4,17,17.4,0.0,13.9,13.9,22.0,3.1,7.2,12.4,1024.1,1019.6,16,2,Spring,2.084874588294908,1,0
2018-04-18,27.0,18.0,2018,4,18,19.0,0.0,14.3,14.3,10.0,1.9,6.7,12.1,1025.9,1023.4,16,2,Spring,2.099320815021973,2,0
2018-04-19,30.0,23.0,2018,4,19,17.8,0.0,14.6,14.6,99.0,3.6,6.7,11.6,1025.3,1023.3,16,2,Spring,2.0679315999063013,3,0
2018-04-20,34.0,32.0,2018,4,20,17.0,0.0,14.1,14.1,1.0,2.2,4.7,11.6,1023.8,1021.1,16,2,Spring,2.115071824884092,4,0
2018-04-21,42.0,31.0,2018,4,21,17.2,0.0,13.5,13.5,23.0,3.1,6.9,11.5,1021.2,1018.1,16,2,Spring,1.8029564652371668,5,1
2018-04-22,52.0,26.0,2018,4,22,17.9,0.0,14.4,14.4,22.0,3.1,8.6,9.0,1018.8,1016.2,16,2,Spring,1.7126875852660302,6,1
2018-04-23,52.0,24.0,2018,4,23,17.6,0.0,14.9,14.9,8.0,1.7,4.7,7.9,1019.7,1017.2,17,2,Spring,2.1018056749785043,0,0
2018-04-24,44.0,23.0,2018,4,24,19.6,0.0,14.9,14.9,1.0,1.7,4.4,11.1,1020.1,1016.8,17,2,Spring,2.0465457685664945,1,0
2018-04-25,45.0,21.0,2018,4,25,19.4,0.0,16.0,16.0,10.0,3.9,8.1,10.5,1017.7,1015.9,17,2,Spring,2.0976450315910395,2,0
2018-04-26,41.0,19.0,2018,4,26,18.7,0.0,16.0,16.0,23.0,3.3,8.1,9.5,1017.5,1013.6,17,2,Spring,2.1241863217516275,3,0
2018-04-27,41.0,14.0,2018,4,27,18.2,0.2,14.3,14.3,20.0,3.1,11.4,10.2,1013.7,1010.9,17,2,Spring,2.2069467175850157,4,0
2018-04-28,35.0,8.0,2018,4,28,17.9,1.7,15.4,15.4,11.0,3.1,6.4,8.8,1012.1,1007.3,17,2,Spring,1.754290959155576,5,1
2018-04-29,33.0,13.0,2018,4,29,16.0,0.8,13.6,13.6,26.0,5.8,18.6,6.0,1011.9,1003.8,17,2,Spring,1.5645661157024793,6,1
2018-04-30,22.0,13.0,2018,4,30,14.8,66.0,12.1,12.1,21.0,5.3,11.9,10.6,1012.9,1011.2,18,2,Spring,1.8993246426888644,0,0
2018-05-01,13.0,16.0,2018,5,1,12.0,5.3,8.5,8.5,34.0,2.5,10.0,4.6,1014.4,1012.0,18,2,Spring,1.5541616885702907,1,0
2018-05-02,10.0,23.0,2018,5,2,12.7,0.0,8.1,8.1,21.0,3.6,7.8,13.1,1012.6,1008.7,18,2,Spring,2.0843804457488764,2,0
2018-05-03,18.0,24.0,2018,5,3,17.6,0.8,12.3,12.3,6.0,3.1,13.6,5.7,1010.2,1006.7,18,2,Spring,2.1256495040151155,3,0
2018-05-04,13.0,17.0,2018,5,4,15.5,0.2,12.8,12.8,33.0,2.5,7.5,0.1,1014.0,1008.5,18,2,Spring,2.1415852505515285,4,0
2018-05-05,23.712691771269174,20.0,2018,5,5,18.2,3.4,15.3,15.3,99.0,2.2,6.9,0.2,1016.9,1012.5,18,2,Spring,1.8386007977907333,5,1
2018-05-06,23.712691771269174,33.0,2018,5,6,18.5,3.2,14.5,14.5,8.0,3.1,8.3,4.9,1018.6,1015.4,18,2,Spring,1.8371007371007368,6,1
2018-05-07,25.0,38.0,2018,5,7,18.0,0.0,15.5,15.5,21.0,2.8,8.3,6.0,1016.0,1011.7,19,2,Spring,2.0891104294478526,0,0
2018-05-08,38.0,25.0,2018,5,8,17.6,0.2,14.8,14.8,21.0,2.5,7.5,4.7,1011.9,1009.1,19,2,Spring,2.0881249454672366,1,0
2018-05-09,33.0,18.0,2018,5,9,17.8,0.0,14.5,14.5,21.0,2.5,7.5,3.9,1010.3,1008.2,19,2,Spring,2.091723906852069,2,0
2018-05-10,31.0,19.0,2018,5,10,17.6,0.0,15.4,15.4,14.0,2.5,6.1,6.5,1018.8,1009.4,19,2,Spring,2.1302711487468997,3,0
2018-05-11,29.0,15.0,2018,5,11,18.0,0.0,15.1,15.1,99.0,5.0,14.2,11.7,1018.3,1015.0,19,2,Spring,2.1987242394504416,4,0
2018-05-12,30.0,9.0,2018,5,12,15.8,12.0,13.0,13.0,21.0,3.1,14.7,1.4,1017.0,1010.8,19,2,Spring,1.8590768671633653,5,1
2018-05-13,20.0,12.0,2018,5,13,12.8,0.0,9.9,9.9,8.0,3.1,11.7,7.3,1016.7,1012.7,19,2,Spring,1.7041759053954175,6,1
2018-05-14,10.0,16.0,2018,5,14,13.6,0.0,10.4,10.4,8.0,4.4,10.0,9.8,1017.9,1013.6,20,2,Spring,2.0608520900321543,0,0
2018-05-15,15.0,19.0,2018,5,15,16.6,0.0,11.9,11.9,10.0,4.4,11.1,11.5,1017.4,1013.7,20,2,Spring,2.0666727471725648,1,0
2018-05-16,25.0,23.0,2018,5,16,16.8,0.0,13.2,13.2,22.0,1.4,5.6,11.6,1016.9,1014.5,20,2,Spring,2.1209478361033405,2,0
2018-05-17,33.0,16.0,2018,5,17,18.5,0.0,15.7,15.7,22.0,1.9,7.2,10.8,1016.6,1015.0,20,2,Spring,2.0994315697420203,3,0
2018-05-18,29.0,18.0,2018,5,18,18.9,0.0,16.6,16.6,9.0,1.4,5.3,10.7,1017.4,1015.3,20,2,Spring,2.141871675531915,4,0
2018-05-19,29.0,10.0,2018,5,19,19.8,0.0,15.3,15.3,19.0,1.9,5.3,10.6,1016.6,1014.6,20,2,Spring,1.809377664109122,5,1
2018-05-20,22.0,13.0,2018,5,20,19.4,0.0,16.0,16.0,13.0,3.1,6.9,11.7,1015.5,1012.4,20,2,Spring,1.6735869764038778,6,1
2018-05-21,21.0,19.0,2018,5,21,18.6,0.0,15.6,15.6,14.0,1.9,6.1,10.5,1012.7,1010.3,21,2,Spring,1.6505587911223043,0,0
2018-05-22,25.0,22.0,2018,5,22,19.4,0.0,16.8,16.8,19.0,3.1,5.6,8.4,1016.7,1010.7,21,2,Spring,2.1109447640059886,1,0
2018-05-23,39.0,15.0,2018,5,23,18.5,0.0,15.6,15.6,21.0,4.2,9.7,11.4,1018.4,1016.1,21,2,Spring,2.141532756489493,2,0
2018-05-24,49.0,16.0,2018,5,24,19.9,0.0,17.3,17.3,27.0,1.9,5.6,10.6,1017.6,1015.6,21,2,Spring,2.151433415536375,3,0
2018-05-25,40.0,4.0,2018,5,25,19.2,1.7,17.0,17.0,8.0,7.2,11.4,9.5,1015.9,1012.8,21,2,Spring,2.2007324330510416,4,0
2018-05-26,35.0,4.0,2018,5,26,19.3,0.0,17.7,17.7,6.0,7.2,12.5,4.0,1015.1,1012.5,21,2,Spring,1.8466127318787284,5,1
2018-05-27,37.0,8.0,2018,5,27,20.0,0.0,18.5,18.5,10.0,6.4,12.5,6.1,1013.5,1010.5,21,2,Spring,1.71997585998793,6,1
2018-05-28,41.0,15.0,2018,5,28,20.0,0.0,18.2,18.2,10.0,3.6,10.0,7.5,1015.3,1011.4,22,2,Spring,2.145029374496026,0,0
2018-05-29,40.0,15.0,2018,5,29,20.8,2.1,18.1,18.1,20.0,5.3,11.7,9.5,1015.0,1012.5,22,2,Spring,2.1572781655034894,1,0
2018-05-30,31.0,14.0,2018,5,30,19.7,0.2,18.4,18.4,20.0,4.7,7.8,8.8,1013.8,1011.8,22,2,Spring,2.102597402597403,2,0
2018-05-31,32.0,13.0,2018,5,31,19.6,0.0,16.7,16.7,20.0,2.2,5.3,12.7,1019.4,1013.8,22,2,Spring,2.1975995635570102,3,0
2018-06-01,33.0,12.0,2018,6,1,20.4,0.0,17.7,17.7,99.0,1.9,5.3,10.0,1019.6,1017.9,22,3,Summer,2.200420635902512,4,0
2018-06-02,24.0,15.0,2018,6,2,20.8,0.0,18.1,18.1,8.0,2.5,5.0,5.2,1018.8,1015.7,22,3,Summer,1.8555435774110625,5,1
2018-06-03,16.0,22.0,2018,6,3,18.3,6.8,16.7,16.7,9.0,4.7,13.9,0.0,1016.8,1011.4,22,3,Summer,1.735566963883635,6,1
2018-06-04,13.0,16.0,2018,6,4,18.5,0.0,15.8,15.8,20.0,3.3,8.1,11.9,1013.0,1010.1,23,3,Summer,2.111143781240812,0,0
2018-06-05,17.0,15.0,2018,6,5,20.2,0.0,17.8,17.8,22.0,2.8,7.8,3.5,1010.9,1008.9,23,3,Summer,2.036919938806731,1,0
2018-06-06,20.0,16.0,2018,6,6,19.2,0.2,16.4,16.4,26.0,2.2,10.3,2.7,1015.0,1010.6,23,3,Summer,2.1205209091644424,2,0
2018-06-07,11.0,23.0,2018,6,7,20.6,1.0,16.9,16.9,21.0,2.2,6.4,5.7,1015.5,1013.4,23,3,Summer,2.151744141668575,3,0
2018-06-08,15.0,18.0,2018,6,8,19.6,0.0,17.0,17.0,20.0,3.9,8.6,11.1,1015.4,1012.4,23,3,Summer,2.1334179535998867,4,0
2018-06-09,20.0,13.0,2018,6,9,21.5,0.0,19.1,19.1,22.0,2.5,8.6,8.9,1014.0,1011.1,23,3,Summer,1.860224457076228,5,1
2018-06-10,18.0,19.0,2018,6,10,22.3,0.1,19.8,19.8,10.0,3.9,10.0,6.7,1012.4,1008.9,23,3,Summer,1.7013765729245838,6,1
