date, pm25, pm10, o3, no2, so2, co
2020/1/3, 96, 14, , 18, , 
2020/1/4, 46, 11, , 22, , 
2020/1/5, 36, 19, , 25, , 
2020/1/6, 60, 29, , 37, , 
2020/1/7, 73, 33, , 42, , 
2020/1/8, 73, 25, , 32, , 
2020/1/9, 68, 12, , 22, , 
2020/1/10, 37, 10, , 24, , 
2020/1/11, 31, 20, , 29, , 
2020/1/12, 61, 25, , 33, , 
2020/1/13, 71, 26, , 29, , 
2020/1/14, 74, 25, , 34, , 
2020/1/15, 65, 31, , 30, , 
2020/1/16, 72, 12, , 21, , 
2020/1/17, 35, 11, , 20, , 
2020/1/18, 38, 5, , 10, , 
2020/1/19, 14, 8, , 10, , 
2020/1/20, 17, 6, , 10, , 
2020/1/21, 17, 14, , 16, , 
2020/1/22, 28, 41, , 20, , 
2020/1/23, 62, 27, , 19, , 
2020/1/24, 46, 14, , 15, , 
2020/1/25, 30, 11, , 16, , 
2020/1/26, 39, 12, , 19, , 
2020/1/27, 39, 5, , 9, , 
2020/1/28, 14, 6, , 9, , 
2020/1/29, 21, 10, , 12, , 
2020/1/30, 31, 6, , 10, , 
2020/1/31, 20, 4, , 8, , 
2020/2/1, 15, 9, , 13, , 
2020/2/2, 33, 29, , 21, , 
2020/2/3, 65, 36, , 26, , 
2020/2/4, 71, 10, , 26, , 
2020/2/5, 24, 18, , 27, , 
2020/2/6, 50, 22, , 24, , 
2020/2/7, 63, 21, , 25, , 
2020/2/8, 70, 15, , 18, , 
2020/2/9, 55, 17, , 23, , 
2020/2/10, 56, 27, , 24, , 
2020/2/11, 72, 23, , 21, , 
2020/2/12, 65, 18, , 17, , 
2020/2/13, 54, 19, , 22, , 
2020/2/14, 58, 20, , 20, , 
2020/2/15, 61, 18, , 16, , 
2020/2/16, 59, 12, , 19, , 
2020/2/17, 43, 11, , 19, , 
2020/2/18, 33, 12, , 21, , 
2020/2/19, 31, 18, , 29, , 
2020/2/20, 48, 18, , 30, , 
2020/2/21, 47, 19, , 30, , 
2020/2/22, 53, 15, , 27, , 
2020/2/23, 45, 18, , 29, , 
2020/2/24, 48, 19, , 24, , 
2020/2/25, 49, 8, , 8, , 
2020/2/26, 16, 45, , 9, , 
2020/2/27, 57, 49, , 25, , 
2020/2/28, 72, 31, , 11, , 
2020/2/29, 51, 8, , 4, , 
2020/3/1, 23, 5, , 4, , 
2020/3/2, 16, 10, , 10, , 
2020/3/3, 36, 8, , 9, , 
2020/3/4, 26, 9, , 6, , 
2020/3/5, 27, 4, , 6, , 
2020/3/6, 10, 6, , 13, , 
2020/3/7, 18, 11, , 18, , 
2020/3/8, 37, 9, , 16, , 
2020/3/9, 26, 19, , 32, , 
2020/3/10, 50, 24, , 31, , 
2020/3/11, 56, 21, , 27, , 
2020/3/12, 49, 21, , 21, , 
2020/3/13, 56, 13, , 11, , 
2020/3/14, 40, 13, , 10, , 
2020/3/15, 37, 4, , 7, , 
2020/3/16, 13, 7, , 9, , 
2020/3/17, 24, 17, , 15, , 
2020/3/18, 45, 18, , 11, , 
2020/3/19, 44, 22, , 5, , 
2020/3/20, 37, 9, , 5, , 
2020/3/21, 24, 6, , 4, , 
2020/3/22, 19, 6, , 9, , 
2020/3/23, 23, 9, , 6, , 
2020/3/24, 26, 11, , 6, , 
2020/3/25, 29, 11, , 13, , 
2020/3/26, 31, 9, , 7, , 
2020/3/27, 35, 6, , 8, , 
2020/3/28, 16, 7, , 17, , 
2020/3/29, 21, , , , , 
2019/10/1, 58, 20, , 10, , 
2019/10/2, 54, 16, , 25, , 
2019/10/3, 48, 21, , 30, , 
2019/10/4, 51, 16, , 20, , 
2019/10/5, 40, 13, , 19, , 
2019/10/6, 37, 13, , 36, , 
2019/10/7, 39, 15, , 30, , 
2019/10/8, 36, 19, , 25, , 
2019/10/9, 50, 16, , 21, , 
2019/10/10, 41, 19, , 24, , 
2019/10/11, 52, 16, , 9, , 
2019/10/12, 34, 14, , 15, , 
2019/10/13, 28, 17, , 12, , 
2019/10/14, 45, 4, , 9, , 
2019/10/15, 12, 6, 13, 19, , 
2019/10/16, 18, 10, 10, 20, , 
2019/10/17, 30, 8, 10, 12, , 
2019/10/18, 27, 5, 21, 6, , 
2019/10/19, 14, 3, 20, 5, , 
2019/10/20, 10, 5, 19, 19, , 
2019/10/21, 16, 6, 12, 18, , 
2019/10/22, 18, 4, , 11, , 
2019/10/23, 13, 3, , 15, , 
2019/10/24, 9, 13, , 28, , 
2019/10/25, 42, 18, , 22, , 
2019/10/26, 54, 15, , 22, , 
2019/10/27, 47, 16, , 25, , 
2019/10/28, 51, 21, , 30, , 
2019/10/29, 60, 34, , 22, , 
2019/10/30, 84, 14, , 11, , 
2019/10/31, 43, 10, , 7, , 
2019/11/1, 34, 10, , 4, , 
2019/11/2, 28, 5, , 3, , 
2019/11/3, 15, 11, , 5, , 
2019/11/4, 14, 7, , 8, , 
2019/11/5, 15, 5, , 10, , 
2019/11/6, 13, 6, , 7, , 
2019/11/7, 17, 3, , 6, , 
2019/11/8, 10, 4, , 7, , 
2019/11/9, 12, 4, , 9, , 
2019/11/10, 14, 4, , 23, , 
2019/11/11, 15, 7, 15, 21, , 
2019/11/12, 22, 6, 15, 9, , 
2019/11/13, 22, 6, 15, 8, , 
2019/11/14, 19, 3, 12, 8, , 
2019/11/15, 12, 4, 19, 8, , 
2019/11/16, 14, 5, 14, 6, , 
2019/11/17, 16, 6, 13, 22, , 
2019/11/18, 20, 11, 7, 23, , 
2019/11/19, 39, 14, 4, 26, , 
2019/11/20, 48, , 1, , , 
2019/11/22, 25, 4, , 5, , 
2019/11/23, 14, 6, , 6, , 
2019/11/24, 19, 6, , 12, , 
2019/11/25, 22, 7, , 13, , 
2019/11/26, 22, 6, , 8, , 
2019/11/27, 19, 7, , 9, , 
2019/11/28, 20, 7, , 10, , 
2019/11/29, 24, 6, , 6, , 
2019/11/30, 18, 4, , 12, , 
2019/12/1, 16, 6, , 11, , 
2019/12/2, 22, 5, , 14, , 
2019/12/3, 16, 7, , 19, , 
2019/12/4, 20, 7, , 13, , 
2019/12/5, 21, 7, , 14, , 
2019/12/6, 24, 18, , 22, , 
2019/12/7, 57, 16, , 20, , 
2019/12/8, 56, 15, , 19, , 
2019/12/9, 56, 24, , 26, , 
2019/12/10, 71, 15, , 17, , 
2019/12/11, 47, 7, , 11, , 
2019/12/12, 26, 5, , 8, , 
2019/12/13, 17, 6, , 12, , 
2019/12/14, 21, 5, , 13, , 
2019/12/15, 19, 9, , 15, , 
2019/12/16, 30, 9, , 15, , 
2019/12/17, 28, 9, , 19, , 
2019/12/18, 28, 4, , 12, , 
2019/12/19, 15, 5, , 8, , 
2019/12/20, 20, 7, , 3, , 
2019/12/21, 21, 12, , 4, , 
2019/12/22, 31, 12, , 20, , 
2019/12/23, 32, 17, , 26, , 
2019/12/24, 55, 15, , 20, , 
2019/12/25, 55, 17, , 22, , 
2019/12/26, 54, 12, , 25, , 
2019/12/27, 37, 22, , 29, , 
2019/12/28, 65, 16, , 28, , 
2019/12/29, 51, , , , , 
2019/7/1, 56, 29, , 10, , 
2019/7/2, 52, 25, , 9, , 
2019/7/3, 48, 25, , 7, , 
2019/7/4, 45, 27, , 9, , 
2019/7/5, 50, 20, , 11, , 
2019/7/6, 39, 17, , 7, , 
2019/7/7, 36, 20, , 7, , 
2019/7/8, 40, 16, , 7, , 
2019/7/9, 31, 12, , 12, , 
2019/7/10, 29, 20, , 20, , 
2019/7/11, 42, 26, , 25, , 
2019/7/12, 53, 45, , 11, , 
2019/7/13, 63, 38, , 4, , 
2019/7/14, 60, 19, , 11, , 
2019/7/15, 46, 23, , 10, , 
2019/7/16, 46, 24, , 11, , 
2019/7/17, 49, 21, , 9, , 
2019/7/18, 45, 24, , 9, , 
2019/7/19, 51, 26, , 6, , 
2019/7/20, 51, 33, , 5, , 
2019/7/21, 56, 34, , 10, , 
2019/7/22, 55, 31, , 10, , 
2019/7/23, 48, 29, , 13, , 
2019/7/24, 53, 31, , 12, , 
2019/7/25, 54, 26, , 7, , 
2019/7/26, 45, 13, , 3, , 
2019/7/27, 23, 9, , 3, , 
2019/7/28, 19, 12, , 12, , 
2019/7/29, 26, 15, , 9, , 
2019/7/30, 24, 20, , 6, , 
2019/7/31, 36, 27, , 7, , 
2019/8/1, 46, 25, , 13, , 
2019/8/2, 42, 22, , 11, , 
2019/8/3, 50, 18, , 8, , 
2019/8/4, 44, 20, , 11, , 
2019/8/5, 44, 23, , 11, , 
2019/8/6, 42, 18, , 7, , 
2019/8/7, 32, 14, , 7, , 
2019/8/8, 28, 21, , 4, , 
2019/8/9, 36, 21, , 4, , 
2019/8/10, 28, 17, , 6, , 
2019/8/11, 38, 21, , 7, , 
2019/8/12, 48, 16, , 8, , 
2019/8/13, 41, 17, , 9, , 
2019/8/14, 43, 19, , 10, , 
2019/8/15, 45, 18, , 6, , 
2019/8/16, 44, 19, , 13, , 
2019/8/17, 46, 20, , 15, , 
2019/8/18, 44, 21, , 9, , 
2019/8/19, 43, 15, , 5, , 
2019/8/20, 39, 16, , 6, , 
2019/8/21, 46, 19, , 14, , 
2019/8/22, 46, 18, , 19, , 
2019/8/23, 49, 20, , 17, , 
2019/8/24, 56, 19, , 8, , 
2019/8/25, 55, 18, , 8, , 
2019/8/26, 52, 16, , 11, , 
2019/8/27, 51, 20, , 25, , 
2019/8/28, 57, 25, , 25, , 
2019/8/29, 65, 25, , 17, , 
2019/8/30, 61, 25, , 19, , 
2019/8/31, 65, 25, , 19, , 
2019/9/1, 67, 23, , 10, , 
2019/9/2, 66, 21, , 12, , 
2019/9/3, 57, 19, , 18, , 
2019/9/4, 55, 18, , 7, , 
2019/9/5, 51, 14, , 9, , 
2019/9/6, 41, 12, , 7, , 
2019/9/7, 37, 16, , 7, , 
2019/9/8, 51, 21, , 13, , 
2019/9/9, 56, 27, , 6, , 
2019/9/10, 48, 14, , 7, , 
2019/9/11, 41, 18, , 13, , 
2019/9/12, 50, 20, , 14, , 
2019/9/13, 55, 20, , 10, , 
2019/9/14, 61, 23, , 12, , 
2019/9/15, 65, 23, , 18, , 
2019/9/16, 62, 28, , 15, , 
2019/9/17, 73, 26, , 19, , 
2019/9/18, 71, 27, , 21, , 
2019/9/19, 71, 31, , 13, , 
2019/9/20, 76, 27, , 11, , 
2019/9/21, 71, 22, , 6, , 
2019/9/22, 63, 15, , 19, , 
2019/9/23, 48, 21, , 19, , 
2019/9/24, 60, 20, , 12, , 
2019/9/25, 59, 16, , 20, , 
2019/9/26, 52, 24, , 25, , 
2019/9/27, 66, 18, , 25, , 
2019/9/28, 53, 20, , 22, , 
2019/9/29, 55, 20, , 28, , 
2019/9/30, 55, 24, , 22, , 
