date, pm25, pm10, o3, no2, so2, co
2019/10/27, 46, 20, , 28, 6, 
2019/10/28, 51, 31, , 26, 6, 
2019/10/29, 75, 41, , 27, 5, 
2019/10/30, 83, 21, , 16, 4, 
2019/10/31, 48, 13, , 7, 4, 
2019/11/1, 33, 14, 18, 5, 4, 
2019/11/2, 38, 10, 28, 5, 4, 
2019/11/3, 24, 8, 22, 8, 4, 
2019/11/4, 16, 7, 18, 13, 5, 
2019/11/5, 15, 9, 17, 15, 4, 
2019/11/6, 19, 9, 18, 13, 4, 
2019/11/7, 17, 6, 19, 13, 5, 
2019/11/8, 14, 8, , 9, 5, 
2019/11/9, 16, 6, , 10, 5, 
2019/11/10, 17, 10, , 21, 6, 
2019/11/11, 27, 14, , 20, 7, 
2019/11/12, 32, 11, , 10, 5, 
2019/11/13, 25, 8, , , 5, 
2019/11/15, 13, 9, , 13, 5, 
2019/11/16, 21, 11, , 13, 5, 
2019/11/17, 32, 9, , 17, 6, 
2019/11/18, 28, 12, , 32, 8, 
2019/11/19, 26, 16, , 25, 6, 
2019/11/20, 34, , , , 6, 
2019/11/22, 27, 9, , 9, 6, 
2019/11/23, 27, 8, , 9, 6, 
2019/11/24, 21, 12, , 14, 5, 
2019/11/25, 28, 12, , 18, 5, 
2019/11/26, 26, 10, , 12, 6, 
2019/11/27, 13, 19, , 13, 6, 
2019/11/28, 42, 13, , 15, 6, 
2019/11/29, 32, 13, , 11, 6, 
2019/11/30, 30, 9, , 12, 6, 
2019/12/1, 33, 3, , 7, 6, 
2019/12/2, 13, 6, , 9, 6, 
2019/12/3, 16, 5, , 14, 6, 
2019/12/4, 14, 5, 7, 10, 6, 
2019/12/5, 14, 9, 19, 12, 6, 
2019/12/6, 26, 20, 7, 22, 7, 
2019/12/7, 49, 23, 2, 24, 7, 
2019/12/8, 63, 21, 8, 21, 6, 
2019/12/9, 56, 33, 2, 31, 7, 
2019/12/10, 71, 22, 8, 24, 7, 
2019/12/11, 51, 11, , 14, 7, 
2019/12/12, 29, 10, , 13, 7, 
2019/12/13, 31, 8, , 13, 6, 
2019/12/14, 25, 12, , 18, 6, 
2019/12/15, 37, 12, , 15, 6, 
2019/12/16, 36, 16, , 18, 6, 
2019/12/17, 49, 16, , 23, 7, 
2019/12/18, 45, 14, , 19, 6, 
2019/12/19, 47, 9, , 12, , 
2019/12/20, 32, 8, 24, 4, 6, 
2019/12/21, 25, 12, 24, 5, , 
2019/12/22, 35, 11, 22, 23, 7, 
2019/12/23, 30, 26, 6, 26, 8, 
2019/12/24, 67, 18, 9, 20, 7, 
2019/12/25, 54, 16, 6, 21, 8, 
2019/12/26, 45, 10, 10, 23, 11, 
2019/12/27, 23, 13, , 28, 11, 
2019/12/28, 30, 13, , 30, , 
2019/12/29, 30, , , , , 
2019/7/1, 55, 29, , 12, 5, 
2019/7/2, 45, 27, , 8, 5, 
2019/7/3, 53, 27, , 7, 4, 
2019/7/4, 50, 31, , 16, 5, 
2019/7/5, 52, 24, , 14, 5, 
2019/7/6, 47, 19, , 12, 5, 
2019/7/7, 36, 22, , 14, 5, 
2019/7/8, 42, 18, , 11, 5, 
2019/7/9, 32, 15, , 10, 5, 
2019/7/10, 31, 21, , 25, 5, 
2019/7/11, 42, 26, , 18, 6, 
2019/7/12, 50, 45, , 13, 4, 
2019/7/13, 63, 40, , 9, 5, 
2019/7/14, 61, 17, , 16, 5, 
2019/7/15, 34, 20, , 11, 5, 
2019/7/16, 36, 28, , 15, 5, 
2019/7/17, 52, 25, , 13, 5, 
2019/7/18, 48, 25, , 14, 5, 
2019/7/19, 46, 28, , 11, 3, 
2019/7/20, 51, 37, , 6, 4, 
2019/7/21, 55, 39, , 8, 4, 
2019/7/22, 57, 32, , 13, , 
2019/7/23, 46, 27, , 16, , 
2019/7/24, 39, 29, 38, 18, , 
2019/7/25, 39, 25, 30, 14, , 
2019/7/26, 38, 13, 28, 8, , 
2019/7/27, 25, 10, 36, 5, , 
2019/7/28, 17, 14, 27, 17, , 
2019/7/29, 29, 16, 35, 11, , 
2019/7/30, 30, 17, 23, 6, , 
2019/7/31, 29, 30, , 11, , 
2019/8/1, 60, 26, , 13, , 
2019/8/2, 58, 23, , 12, , 
2019/8/3, 53, 29, , 13, , 
2019/8/4, 65, 24, , 20, , 
2019/8/5, 56, 17, , 16, 4, 
2019/8/6, 36, 16, , 13, 4, 
2019/8/7, 25, 14, , 11, 4, 
2019/8/8, 22, 11, , 6, 3, 
2019/8/9, 17, 11, , 8, 3, 
2019/8/10, 12, 11, , 8, 3, 
2019/8/11, 19, 9, , 7, 3, 
2019/8/12, 13, 10, , 6, 3, 
2019/8/13, 13, 13, , 13, 3, 
2019/8/14, 21, 14, , 9, 3, 
2019/8/15, 21, 11, , 7, , 
2019/8/16, 17, 13, , 13, 3, 
2019/8/17, 23, 13, , 11, 3, 
2019/8/18, 25, 9, , 11, 4, 
2019/8/19, 15, 11, , 5, 4, 
2019/8/20, 17, 10, , 7, 4, 
2019/8/21, 18, 14, , 9, 5, 
2019/8/22, 21, 11, , 16, 5, 
2019/8/23, 21, 15, , 16, 5, 
2019/8/24, 34, 17, , 6, 4, 
2019/8/25, 41, 14, , 9, 5, 
2019/8/26, 32, 12, , 12, 5, 
2019/8/27, 26, 16, , 19, 5, 
2019/8/28, 35, 16, , 21, 5, 
2019/8/29, 34, 15, , 14, 5, 
2019/8/30, 28, 15, , 23, 5, 
2019/8/31, 35, 16, , 19, 5, 
2019/9/1, 36, 11, , 9, 4, 
2019/9/2, 23, 14, , 16, 5, 
2019/9/3, 25, 15, , 16, 4, 
2019/9/4, 24, 13, , 4, 4, 
2019/9/5, 22, 9, , 7, 4, 
2019/9/6, 14, 10, , 5, 4, 
2019/9/7, 21, 9, , 9, 4, 
2019/9/8, 18, 10, , 16, 5, 
2019/9/9, 16, 10, , 9, 4, 
2019/9/10, 13, 8, , 7, 4, 
2019/9/11, 11, 12, , 10, 5, 
2019/9/12, 25, 12, , 10, 4, 
2019/9/13, 25, 11, , 7, 4, 
2019/9/14, 21, 15, , 9, 4, 
2019/9/15, 36, 15, , 19, 4, 
2019/9/16, 33, 19, , 19, 4, 
2019/9/17, 44, 13, 31, 17, 4, 
2019/9/18, 22, 15, 36, 18, 4, 
2019/9/19, 26, 18, 28, 12, 3, 
2019/9/20, 30, 19, 23, 14, 3, 
2019/9/21, 37, 18, 23, 9, 3, 
2019/9/22, 39, 9, 23, 21, 5, 
2019/9/23, 19, 14, , 20, 4, 
2019/9/24, 25, 13, 26, 15, 4, 
2019/9/25, 23, 12, 28, 22, 4, 
2019/9/26, 20, 19, 28, 28, 4, 
2019/9/27, 34, 14, 34, 19, 5, 
2019/9/28, 26, 15, 29, 20, 5, 
2019/9/29, 32, 14, 27, 29, 5, 
2019/9/30, 29, 20, 18, 28, 5, 
2019/4/1, 28, 16, , 22, 7, 
2019/4/2, 39, 18, , 18, 5, 
2019/4/3, 44, 12, , 18, 6, 
2019/4/4, 24, 12, , 19, 4, 
2019/4/5, 25, 10, , 9, 4, 
2019/4/6, 22, 9, , 10, , 
2019/4/7, 19, 10, , 16, 5, 
2019/4/8, 29, 11, , 15, 4, 
2019/4/9, 28, 10, 26, 17, 5, 
2019/4/10, 21, 10, 28, 17, 5, 
2019/4/11, 20, 12, 35, 20, 5, 
2019/4/12, 27, 16, 43, 21, 6, 
2019/4/13, 44, 16, 29, 13, 6, 
2019/4/14, 47, 16, 30, 15, 6, 
2019/4/15, 44, 15, 23, 15, 6, 
2019/4/16, 32, 17, , 8, 6, 
2019/4/17, 38, 18, , 8, 5, 
2019/4/18, 36, 5, 29, 7, 5, 
2019/4/19, 12, 10, 40, 4, 4, 
2019/4/20, 26, 12, 38, 5, 4, 
2019/4/21, 29, 14, 31, 14, 4, 
2019/4/22, 35, 18, 32, 15, 5, 
2019/4/23, 42, 10, 26, 17, 5, 
2019/4/24, 21, 8, 25, 11, 4, 
2019/4/25, 19, 11, 29, 16, 4, 
2019/4/26, 20, 13, 7, 18, 5, 
2019/4/27, 30, 13, , 8, 5, 
2019/4/28, 35, 10, , 13, 5, 
2019/4/29, 26, 12, , 14, 5, 
2019/4/30, 28, 14, , 5, 4, 
2019/5/1, 30, 9, , 6, , 
2019/5/2, 23, 12, , 6, , 
