date, pm25, pm10, o3, no2, so2, co
2019/4/25, 17, 9, 29, 11, 4, 
2019/4/26, 19, 10, 7, 16, 5, 
2019/4/27, 25, 12, , 7, 5, 
2019/4/28, 35, 9, , 11, 5, 
2019/4/29, 26, 11, , 11, 5, 
2019/4/30, 29, 12, , 3, 4, 
2019/5/1, 29, 9, , 5, , 
2019/5/2, 26, 10, , 5, , 
2019/5/3, 29, 7, , 4, 4, 
2019/5/4, 17, 7, , 4, 4, 
2019/5/5, 19, 8, , 16, 6, 
2019/5/6, 21, 16, , 10, 5, 
2019/5/7, 39, 13, , 7, 4, 
2019/5/8, 25, 11, , 9, 5, 
2019/5/9, 19, 10, , 7, 4, 
2019/5/10, 20, 12, , 7, 3, 
2019/5/11, 28, 11, 38, 3, 3, 
2019/5/12, 27, 10, 34, 11, 3, 
2019/5/13, 23, 13, 42, 14, 4, 
2019/5/14, 29, 18, 38, 14, 4, 
2019/5/15, 40, 16, 31, 13, 3, 
2019/5/16, 37, 19, 31, 7, 3, 
2019/5/17, 30, 8, , 3, 3, 
2019/5/18, 18, 6, , 4, 3, 
2019/5/19, 18, 9, , 8, 5, 
2019/5/20, 19, 11, , 10, 5, 
2019/5/21, 26, 14, , 14, 5, 
2019/5/22, 29, 20, , 19, 4, 
2019/5/23, 38, 16, , 4, 4, 
2019/5/24, 29, 10, , 1, 4, 
2019/5/25, 19, 9, , 2, 3, 
2019/5/26, 15, 10, , 10, 4, 
2019/5/27, 19, 13, , 4, 3, 
2019/5/28, 20, 9, , 3, 4, 
2019/5/29, 19, 8, , 6, 3, 
2019/5/30, 17, 16, , 14, 4, 
2019/5/31, 24, 19, , 12, 4, 
2019/6/1, 37, 17, , 10, 3, 
2019/6/2, 38, 20, , 18, 4, 
2019/6/3, 48, 22, , 10, 4, 
2019/6/4, 44, 18, , 7, 3, 
2019/6/5, 31, 11, , 11, 4, 
2019/6/6, 24, 13, , 8, 5, 
2019/6/7, 22, 9, , 6, 4, 
2019/6/8, 22, 19, , 5, 4, 
2019/6/9, 36, 11, , 11, 4, 
2019/6/10, 24, 12, , 5, 4, 
2019/6/11, 27, 6, , 11, 4, 
2019/6/12, 17, 12, , 13, 5, 
2019/6/13, 25, 19, 34, 13, 5, 
2019/6/14, 35, 15, 41, 6, 4, 
2019/6/15, 30, 12, 42, 11, 4, 
2019/6/16, 30, 17, 38, 18, 5, 
2019/6/17, 38, 18, 33, 14, 4, 
2019/6/18, 41, 19, 22, 9, 4, 
2019/6/19, 30, 21, 24, 11, 4, 
2019/6/20, 28, 21, 33, 7, 4, 
2019/6/21, 34, 19, 40, 6, 4, 
