date;date;pm10;pm25;o3;no2;so2
2018-12-30;2018-12-30;11.0;42.5;15.0;17.0;3.0
2018-12-31;2018-12-31;30.0;;11.0;32.0;9.0
2019-01-01;2019-01-01;35.0;74.0;126.0;39.0;9.0
2019-01-02;2019-01-02;23.0;74.0;13.0;30.0;6.0
2019-01-03;2019-01-03;32.5;49.5;6.0;37.5;7.5
2019-01-04;2019-01-04;34.5;65.0;3.0;37.0;7.0
2019-01-05;2019-01-05;34.0;74.5;7.0;42.0;9.5
2019-01-06;2019-01-06;22.5;83.5;8.0;39.5;9.0
2019-01-07;2019-01-07;27.5;56.0;10.5;36.5;8.0
2019-01-08;2019-01-08;22.0;53.5;10.0;31.5;7.0
2019-01-09;2019-01-09;11.0;46.5;21.0;20.0;5.0
2019-01-10;2019-01-10;22.0;24.5;17.0;35.0;6.0
2019-01-11;2019-01-11;24.5;44.5;18.0;31.0;6.0
2019-01-12;2019-01-12;27.0;57.0;9.0;30.5;6.0
2019-01-13;2019-01-13;51.5;66.5;3.0;54.5;9.5
2019-01-14;2019-01-14;49.5;109.5;10.0;40.0;7.0
2019-01-15;2019-01-15;39.5;92.5;10.5;29.5;5.5
2019-01-16;2019-01-16;42.5;79.5;9.5;28.0;5.0
2019-01-17;2019-01-17;35.5;103.5;11.0;28.0;5.5
2019-01-18;2019-01-18;26.5;82.0;9.0;25.5;4.0
2019-01-19;2019-01-19;17.5;67.5;22.5;16.0;5.0
2019-01-20;2019-01-20;13.5;55.5;16.0;24.0;5.0
2019-01-21;2019-01-21;16.5;37.5;17.0;24.5;4.5
2019-01-22;2019-01-22;10.0;45.0;25.0;10.5;4.0
2019-01-23;2019-01-23;12.0;26.5;25.0;19.0;4.0
2019-01-24;2019-01-24;12.5;24.0;17.5;27.5;5.0
2019-01-25;2019-01-25;16.0;27.5;23.5;25.0;4.5
2019-01-26;2019-01-26;10.0;40.0;27.0;11.0;4.0
2019-01-27;2019-01-27;8.5;29.0;28.0;11.5;4.0
2019-01-28;2019-01-28;10.5;16.5;27.0;15.0;4.5
2019-01-29;2019-01-29;10.5;24.5;29.0;13.5;4.0
2019-01-30;2019-01-30;8.0;23.5;20.0;10.0;4.0
2019-01-31;2019-01-31;7.0;20.0;28.5;12.5;3.0
2019-02-01;2019-02-01;6.0;17.0;30.0;8.0;4.0
2019-02-02;2019-02-02;7.5;16.5;26.5;14.0;5.0
2019-02-03;2019-02-03;23.5;22.0;8.5;37.5;6.0
2019-02-04;2019-02-04;37.0;56.0;9.5;41.0;8.0
2019-02-05;2019-02-05;29.0;74.5;11.0;29.5;5.5
2019-02-06;2019-02-06;34.0;63.0;7.5;33.0;7.0
2019-02-07;2019-02-07;31.5;73.0;16.0;27.5;7.0
2019-02-08;2019-02-08;26.5;68.5;15.5;24.0;5.5
2019-02-09;2019-02-09;17.5;67.5;20.0;10.5;5.0
2019-02-10;2019-02-10;12.0;50.5;24.5;16.0;5.0
2019-02-11;2019-02-11;15.5;26.5;24.5;23.0;6.0
2019-02-12;2019-02-12;26.0;34.5;21.0;29.5;6.5
2019-02-13;2019-02-13;27.5;53.0;20.5;28.5;6.0
