fecha,pm10,no2,intensidad,PCA1,PCA2,PCA3,PCA4
2019-01-20,13.5,24.0,148.0,-11.224702978989896,8.954889613092583,-10.888172896710369,-4.11389052477786
2019-01-21,16.5,24.5,270.5,-12.917319932488162,-0.2840716554677676,-11.944999081058208,-3.721762197484482
2019-01-22,10.0,10.5,274.75,10.971246795503383,1.3036453269380928,-10.903361966072493,-1.0751395735381082
2019-01-23,12.0,19.0,277.0,13.71740727966301,11.132056150250433,-2.515704066598405,-4.459460480108457
2019-01-24,12.5,27.5,279.0,13.258925848778853,5.645332072908116,-0.7247244430637111,-2.7587911697763947
2019-01-25,16.0,25.0,286.5,-14.358249693455473,1.658471891375185,-7.235368449261329,-3.242582979345837
2019-01-26,10.0,11.0,185.0,5.1143296342037265,-3.846385113364774,-6.981484926215471,-2.7839107615369727
2019-01-27,8.5,11.5,141.25,12.182294524868219,1.6835162369061638,-4.872761462880313,-4.094945283717564
2019-01-28,10.5,15.0,268.0,11.108225950604334,2.0126164542875484,-4.014398845765315,-3.9545492718511266
2019-01-29,10.5,13.5,275.0,11.99416394145265,4.9170951857376615,-6.248214514569809,-2.3718919174954864
2019-01-30,8.0,10.0,278.5,13.91120745524334,10.40873343223331,-5.542963996489007,-1.0294073573408107
2019-01-31,7.0,12.5,284.0,8.962698610461015,23.547374273774967,-3.833158685140254,0.8898941779050963
2019-02-01,6.0,8.0,295.25,12.509970283327023,29.37575317080899,-4.089767051266342,-7.936378892968961
2019-02-02,7.5,14.0,187.5,14.635148187065141,12.149440501543882,-6.147037299490847,-6.8007448158167785
2019-02-03,23.5,37.5,146.0,4.892835558894368,-8.440605266826088,-10.754292968054456,-2.687863248832773
2019-02-04,37.0,41.0,273.0,3.4980916617261726,-15.305346829262302,-11.231374032645935,-0.8595419020757067
2019-02-05,29.0,29.5,278.0,3.8120180654717504,-15.860467161026921,-7.690930707040718,-0.10462454078279632
2019-02-06,34.0,33.0,295.5,3.4937197036138743,-11.300790320744133,-6.379149511672171,-0.5254581504066057
2019-02-07,31.5,27.5,300.0,4.046421531390297,-8.328694427351582,-6.185992675735817,-1.272912364991133
2019-02-08,26.5,24.0,311.0,4.368426691460878,-7.054540254305091,-6.367707740827669,-1.8685031029425152
2019-02-09,17.5,10.5,190.5,4.768811392676729,-7.3303455801969175,-9.354275202659018,-0.42550742698626753
2019-02-10,12.0,16.0,153.0,4.938127703891677,-5.932410955259072,-8.49619823425033,-0.04534835490019365
2019-02-11,15.5,23.0,292.0,8.043614520931213,-13.801021022037954,-5.505391191927802,-0.2554549740077881
2019-02-12,26.0,29.5,295.0,-15.945511210209467,-14.393204989685433,-11.21128725908139,-0.4022625463299449
2019-02-13,27.5,28.5,298.5,-10.175671409908183,-14.623939163206728,-9.111125802040444,-0.15429498647036693
2019-02-14,32.5,35.0,309.0,-9.125884538071835,-15.442500299507351,-10.098162528580534,-0.2508126410661551
2019-02-15,31.5,20.0,307.0,-10.510685920722569,-11.127870012964976,-9.027187852294894,-0.8309746849947639
2019-02-16,17.5,17.5,198.0,-8.437094058298255,-9.073474182210534,-6.360777331374326,-0.9403226268002826
2019-02-17,24.5,22.5,157.0,-11.373007587466013,-4.512227450698913,-7.966524353664718,-2.2682982176464317
2019-02-18,36.0,26.5,289.5,-8.57847268425314,-0.6061645935774013,-7.882465149660065,-2.098759101539706
2019-02-19,42.0,32.0,293.0,6.515974062719981,-5.037589192420162,-4.636341551910572,-1.8852736400179417
2019-02-20,46.0,28.5,293.5,3.9453493934991934,-8.746288361762911,-5.9888399162908454,-1.2455121343107018
2019-02-21,41.5,36.5,295.0,-7.1278242765522295,-13.442675438901311,-7.331145268453047,0.10814883911160715
2019-02-22,35.5,34.0,307.5,1.9270152699883538,-18.132937117976034,-5.4240134049703554,1.004261736723295
2019-02-23,35.5,24.0,196.0,-12.050772952907773,-13.038099916995124,-8.530583253715195,0.9527474229778536
2019-02-24,34.5,39.5,153.0,-17.58993135116968,-14.17725264093231,-7.593978797033252,0.7929517084613139
2019-02-25,37.0,30.5,291.0,-0.2007991007370199,-17.744993428769966,-4.6306314651867355,1.1305172582023768
2019-02-26,25.0,33.0,299.5,-3.902694842829738,-15.38314720370559,-4.2975512930913595,0.6871907360125863
2019-02-27,27.5,38.5,302.0,4.091489359726641,-15.614820887495203,-3.015740431204643,0.8887625778836354
2019-02-28,30.0,25.5,310.5,6.420602627300563,-15.414894717086762,-4.532741777265421,1.79546076294614
2019-03-01,26.0,24.0,296.0,1.276594750801343,-9.164741155747981,-2.946036599573225,-0.6700796114042782
2019-03-02,21.5,21.0,183.0,1.6666254238790146,-11.66497533211216,-2.2569604397409972,0.04920462552592977
2019-03-03,14.5,11.5,153.0,3.756298922012435,-6.760131863281256,-2.3937008520133647,-0.4003155152186105
2019-03-04,13.5,12.5,272.0,5.843432583989092,-2.2403501871121625,-3.214826789381147,-0.6365849380444879
2019-03-05,13.5,14.5,300.0,4.815949880712941,2.8619641947377987,-3.1038448970593664,-2.180877568451275
2019-03-06,9.0,15.5,302.0,8.471765165202669,14.696406078387728,-5.447229909372087,2.5500310913967557
2019-03-07,13.5,21.5,303.75,6.068192474536232,1.3876478294242611,-6.036827959953364,-4.099062281474638
2019-03-08,14.5,21.5,303.5,-2.7880435029373314,-6.932897491125896,-6.822541724165709,-0.6642510768346888
2019-03-09,19.5,20.0,198.75,1.7413280597829048,-18.80711210875131,-5.21997454140804,1.429587811628588
2019-03-10,15.0,19.0,158.0,7.5966942739937435,-17.14311746541991,-0.9694283556457057,1.4155326123612277
2019-03-11,14.5,20.0,291.0,-15.702271704220335,-12.685346659136554,-4.60928425543249,0.7843315566223228
2019-03-12,13.5,13.0,296.0,2.751637569743355,-11.39312374171899,-1.9366171779530041,0.2327869892859207
2019-03-13,11.0,21.0,297.5,8.10467495803578,-12.473381915828845,-4.087486664883496,-0.5540954518053294
2019-03-14,17.5,33.0,302.5,-0.449319051997886,-15.046406689150963,-5.897663200843818,0.20566027492888841
2019-03-15,23.0,21.5,309.0,2.254922712449818,-13.322954794049553,-1.6460093502695412,0.4038275402509253
2019-03-16,18.5,14.5,198.0,3.2749221919709086,-6.335763348788822,0.9032579116582667,-0.45710050826134896
2019-03-17,17.0,10.5,156.0,9.190432077266687,-3.3404100280803646,0.3412791091556258,-1.672353655158766
2019-03-18,10.0,12.5,293.0,-12.559639227423894,-5.0242843825267975,-7.4762125743372625,-2.2999896582357002
2019-03-19,9.5,13.0,302.0,-14.002578175072832,-6.504016121696329,-6.925877419192159,-1.3804514001096742
2019-03-20,12.5,19.5,297.25,-13.13296352190228,-8.21445684759211,-7.909794628214782,-1.6391448077044457
2019-03-21,19.5,21.5,303.0,-12.388644354101055,-9.65856019912443,-8.22368590565746,-1.283774369389901
2019-03-22,21.5,15.5,285.0,-11.494684522209104,-9.214030234175944,-6.835496271756966,-0.9852192491598947
2019-03-23,20.5,11.0,193.5,-11.270430798867002,-6.620305830525719,-5.170274846312432,0.1686198123832639
2019-03-24,18.0,15.0,157.0,-9.36834757828026,-5.412622993850569,-2.8195210123240257,-0.11003867395058942
2019-03-25,16.0,12.0,288.0,-12.583719987114275,-0.602622575112981,-2.042933098870925,-2.134537034324316
2019-03-26,15.5,24.5,294.5,-14.088801600994728,1.1566953755199763,-3.063122184611846,-2.5721458233208256
2019-03-27,19.0,20.5,299.5,-14.93629069009997,-5.210230532339047,-6.099403141269949,-1.827422012660148
2019-03-28,21.5,16.0,298.5,-6.782845522667353,-9.5381170401526,-4.668618341196118,-0.6490814679725989
2019-03-29,18.5,13.0,312.5,-8.030891055662664,-5.813300075154407,-4.808567517481967,-1.4897910048536833
2019-03-30,20.0,12.0,198.5,-9.284788321554572,-1.445398115203583,-4.524427137226687,-2.257665262356349
2019-03-31,12.0,17.0,158.0,-5.436456496842115,5.054143002563466,-8.040549277946784,0.5123331147644752
2019-04-01,15.0,21.0,292.0,4.677237840456779,2.7513554427324025,-3.275410361967484,0.07532524784427985
2019-04-02,15.5,17.0,203.5,7.851306455661196,4.195400378920714,-1.9448130115433866,0.8242838652260859
2019-04-03,12.0,16.5,305.25,17.103291962717726,9.774593864702975,0.04304666999476553,-5.040248725651004
2019-04-04,10.5,17.5,303.5,9.82619700082562,17.35378274160845,-3.0776781746533155,-6.400134748545285
2019-04-05,6.0,9.0,310.5,11.52821448873225,24.02278124467296,-5.588413396303905,-3.178793652924317
2019-04-06,6.0,9.0,199.5,9.395416760486787,18.51475561867183,-5.463127376300966,-3.810055230591079
2019-04-07,7.5,14.0,160.0,10.564534984452903,9.382831950523281,-5.4132514352001335,-0.9388430576252682
2019-04-08,9.0,12.5,294.0,8.251978026933955,5.8233332130628055,-1.6178144557094212,-2.68740007214902
2019-04-09,7.0,13.5,298.5,10.798859629598276,5.8878360406890575,-4.543367821331181,-1.3282299196356762
2019-04-10,9.5,18.5,302.0,9.6578088869584,1.8176219884425437,-2.348893421713426,-2.5847202316858997
2019-04-11,11.5,21.0,311.25,77.3680773967711,-17.00318741506635,8.457591665868991,-0.0931146309501643
2019-04-12,16.0,21.0,291.0,8.439753410705144,-3.3839972856241913,-1.5750391894300584,-2.656790015012519
2019-04-13,14.0,12.5,178.5,4.006429855521189,-3.761444681635582,-0.35953261129239983,-2.2637344382126545
2019-04-14,15.5,14.5,142.0,3.196126475461642,0.011625142498846263,2.874529856536005,-1.8167454690418134
2019-04-15,14.5,15.0,244.0,5.042817821006137,4.572167463387318,3.730531528609032,-1.467493326844196
2019-04-16,17.5,9.0,243.0,-6.272832987627936,1.246181534073386,-0.5979044202518834,-2.892185014584111
2019-04-17,18.0,8.0,232.0,5.917525934724757,9.213075464786483,1.0106208908525454,11.55628675697001
2019-04-18,5.5,9.0,110.5,-6.708257222399035,9.727917556297385,-8.421918285901455,6.125090286391564
2019-04-19,10.0,6.0,103.5,-13.155960135980513,6.395052386594455,-10.62615400026287,5.911263412267321
2019-04-20,11.5,6.5,125.0,-14.311703224507404,4.473466296875988,-4.324048392149435,-0.5611020274958463
2019-04-21,13.0,13.5,125.0,-12.536483111442799,9.950389107421461,-8.398703169132505,-1.0857766696578548
2019-04-22,14.5,14.5,270.0,6.18153136970853,17.93325837792487,0.48304143468552563,-4.8730252505314775
2019-04-23,6.5,16.5,291.5,6.901893266006034,23.531283359136054,-3.020022176680546,-4.354174913643529
2019-04-24,7.5,10.5,296.0,10.054221325535345,22.955601431205622,-9.128371873269854,20.33997152388022
