date, pm10, o3, no2, so2, co
2019/8/18, 19, 21, 12, , 
2019/8/19, 21, 28, 14, , 
2019/8/20, 17, 28, 15, 1, 
2019/8/21, 18, 32, 17, 1, 
2019/8/22, 19, 29, 27, 1, 
2019/8/23, 20, 40, 32, 2, 
2019/8/24, 26, 34, 14, 1, 
2019/8/25, 26, 26, 29, 2, 
2019/8/26, 26, 22, 22, , 
2019/8/27, 28, 27, 25, 1, 
2019/8/28, 23, 31, 25, 1, 
2019/8/29, 24, 26, 35, 1, 
2019/8/30, 25, 39, 21, , 
2019/8/31, 26, 26, 25, 1, 
2019/9/1, 20, 23, 22, 1, 
2019/9/2, 19, 24, 23, 1, 
2019/9/3, 18, 28, 30, 2, 
2019/9/4, 23, 23, 21, 1, 
2019/9/5, 24, 19, 25, 1, 
2019/9/6, 23, 29, 16, 1, 
2019/9/7, 21, 24, 15, , 
2019/9/8, 19, 21, 20, , 
2019/9/9, 17, 23, 25, , 
2019/9/10, 17, 30, 15, , 
2019/9/11, 12, 32, 34, 1, 
2019/9/12, 22, 31, 37, 1, 
2019/9/13, 30, 40, 26, , 
2019/9/14, 25, 35, 23, , 
2019/9/15, 24, 26, 40, 1, 
2019/9/16, 27, 20, 47, 2, 
2019/9/17, 36, 36, 40, 1, 
2019/9/18, 41, 29, 29, 1, 
2019/9/19, 34, 31, 27, , 
2019/9/20, 27, 24, 20, , 
2019/9/21, 28, 25, 17, , 
2019/9/22, 24, 19, 19, , 
2019/9/23, 20, 28, 20, , 
2019/9/24, 20, 23, 24, 1, 
2019/9/25, 25, 19, 25, 1, 
2019/9/26, 24, 16, 32, , 
2019/9/27, 30, 19, 21, , 
2019/9/28, 30, 28, 16, , 
2019/9/29, 23, 12, 25, , 
2019/9/30, 29, 25, 22, , 
2019/5/5, 16, 36, 14, 1, 
2019/5/6, 21, 31, 21, 1, 
2019/5/7, 25, 26, 22, , 
2019/5/8, 31, 32, 21, 1, 
2019/5/9, 32, 29, 24, 1, 
2019/5/10, 28, 31, 30, 1, 
2019/5/11, 28, 28, 20, , 
2019/5/12, 20, 32, 15, , 
2019/5/13, 21, 32, 22, , 
2019/5/14, 32, 31, 29, 1, 
2019/5/15, 35, 38, 21, , 
2019/5/16, 31, 34, 30, 1, 
2019/5/17, 24, 29, 31, , 
2019/5/18, 14, 29, 18, , 
2019/5/19, 10, 30, 19, 2, 
2019/5/20, 14, 29, 22, 1, 
2019/5/21, 23, 28, 34, 1, 
2019/5/22, 25, 28, 24, 1, 
2019/5/24, 23, 21, 36, , 
2019/5/25, 15, 21, 24, 1, 
2019/5/26, 18, 22, 22, 1, 
2019/5/27, 14, 23, 23, 1, 
2019/5/28, 18, 24, 18, 1, 
2019/5/29, 20, 24, 19, , 
2019/5/30, 22, 21, 27, 1, 
2019/6/1, 22, 32, 24, 1, 
2019/6/2, 22, 36, 22, , 
2019/6/3, 23, 28, 29, , 
2019/6/4, 25, 28, 27, 1, 
2019/6/5, 25, 30, 22, , 
2019/6/6, 26, 23, 20, , 
2019/6/7, 29, 26, 24, , 
2019/6/8, 30, 32, 16, , 
2019/6/9, 23, 36, 12, , 
2019/6/10, 34, 36, 18, , 
2019/6/11, 26, 23, 23, , 
2019/6/12, 11, 25, 19, , 
2019/6/13, 15, 27, 22, , 
2019/6/14, 23, 30, 29, 1, 
2019/6/15, 39, 33, 21, , 
2019/6/16, 25, 30, 20, 1, 
2019/6/17, 26, 24, 31, 2, 
2019/6/18, 32, 28, 30, 1, 
2019/6/19, 29, 24, 27, , 
2019/6/20, 31, 27, 21, , 
2019/6/21, 20, 27, 23, 1, 
2019/6/22, 20, 33, 18, 1, 
2019/6/23, 24, 31, 9, , 
2019/6/24, 70, 36, , , 
2019/6/25, 37, 34, 19, , 
2019/6/26, 33, 32, 31, , 
2019/6/27, 35, 25, 49, 3, 
2019/6/28, 47, 21, 49, 3, 
2019/6/29, 54, 80, 49, 3, 
2019/6/30, 46, 31, 27, 1, 
2019/1/1, 40, 15, 22, 5, 
2019/1/2, 16, 7, 23, 1, 
2019/1/3, 16, 10, 32, 2, 
2019/1/4, 26, 38, 18, 4, 
2019/1/5, 24, 21, 18, 3, 
2019/1/6, 16, 5, 24, , 
2019/1/7, 24, 12, 12, , 
2019/1/8, 21, 10, 24, , 
2019/1/9, 19, 19, 27, , 
2019/1/10, 19, 13, 25, , 
2019/1/11, 20, 15, 21, , 
2019/1/12, 21, 16, 13, , 
2019/1/14, 14, 11, 24, 1, 
2019/1/15, 21, 9, 30, , 
2019/1/16, 26, 14, 26, , 
2019/1/17, 25, 11, 19, , 
2019/1/18, 21, 15, 21, , 
2019/1/19, 18, 16, 23, , 
2019/1/20, 17, 10, 25, , 
2019/1/21, 14, 13, 18, , 
2019/1/22, 17, 18, 20, , 
2019/1/23, 13, 26, 20, 1, 
2019/1/24, 11, 10, 46, 4, 
2019/1/25, 20, 13, 27, 1, 
2019/1/26, 31, 22, 17, 2, 
2019/1/27, 15, 20, 23, 1, 
2019/1/28, 14, 20, 24, 2, 
2019/1/29, 14, 25, 18, 1, 
2019/1/30, 14, 17, 22, 1, 
2019/1/31, 14, 17, 22, 1, 
2018/10/1, 23, 26, 25, 1, 
2018/10/2, 31, 21, 30, 1, 
2018/10/3, 37, 20, 33, 2, 
2018/10/4, 30, 23, 28, 1, 
2018/10/5, 26, 25, 31, 1, 
2018/10/6, 28, 24, 24, , 
2018/10/7, 22, 23, 17, , 
2018/10/8, 15, 22, 25, , 
2018/10/9, 16, 20, 28, , 
2018/10/10, 16, 17, 31, 1, 
2018/10/11, 24, 17, 26, , 
2018/10/12, 28, 9, 28, , 
2018/10/13, 25, 22, 21, , 
2018/10/14, 25, 22, 20, , 
2018/10/15, 23, 20, 26, , 
2018/10/16, 19, 19, 25, , 
2018/10/17, 25, 15, 27, , 
2018/10/18, 21, 25, 29, , 
2018/10/19, 27, 26, 28, 1, 
2018/10/20, 30, 24, 26, , 
2018/10/21, 34, 23, 28, , 
2018/10/22, 28, 19, 25, , 
2018/10/23, 28, 17, 23, , 
2018/10/24, 24, 8, 33, 1, 
2018/10/25, 29, 8, 38, 1, 
2018/10/26, 38, 10, 21, , 
2018/10/27, 30, 16, 17, , 
2018/10/28, 7, 17, 13, , 
2018/10/29, 8, 18, 25, 1, 
2018/10/30, 17, 13, 40, 1, 
2018/10/31, 27, 16, 24, , 
