date, pm10, o3, no2, so2, co
2019/12/1, 9, 30, 3, , 
2019/12/2, 10, 27, 6, , 
2019/12/3, 12, 24, 5, , 
2019/12/4, 8, 31, 2, 1, 
2019/12/5, 5, 29, 2, , 
2019/12/6, 9, 29, 2, 1, 
2019/12/7, 10, 29, 4, 1, 
2019/12/8, 9, 24, 1, 1, 
2019/12/9, 9, 24, 2, 1, 
2019/12/10, 8, 27, 3, 1, 
2019/12/11, 9, 24, 3, 1, 
2019/12/12, 8, 26, 2, 1, 
2019/12/13, 5, 27, 1, 1, 
2019/12/14, 8, 26, 1, 1, 
2019/12/15, 8, 29, 1, 1, 
2019/12/16, 8, 27, 5, , 
2019/12/17, 27, 21, 6, , 
2019/12/18, 80, 27, 4, , 
2019/12/19, 49, 24, 5, , 
2019/12/20, 18, 28, 3, , 
2019/12/21, 7, 33, 2, , 
2019/12/22, 9, 33, 1, , 
2019/12/23, 8, 30, 2, , 
2019/12/24, 9, 24, 1, , 
2019/12/25, 8, 24, 1, 1, 
2019/12/26, 7, 21, 2, , 
2019/12/27, 9, 24, 1, 1, 
2019/12/28, 11, 25, 6, 1, 
2019/12/29, 12, 21, 5, , 
2019/7/1, 34, 51, 10, , 
2019/7/2, 28, 46, 6, 1, 
2019/7/3, 24, 47, 13, , 
2019/7/4, 27, 52, 7, 1, 
2019/7/5, 28, 51, 9, , 
2019/7/6, 34, 43, 2, , 
2019/7/7, 42, 54, 4, , 
2019/7/8, 32, 45, 4, , 
2019/7/9, 24, 53, 4, 1, 
2019/7/10, 19, 57, 6, 1, 
2019/7/11, 23, 49, 6, 1, 
2019/7/12, 24, 49, 5, , 
2019/7/13, 17, 42, 7, , 
2019/7/14, 14, 44, 4, , 
2019/7/15, 11, 48, 2, 1, 
2019/7/16, 17, 48, 3, , 
2019/7/17, 16, 51, 3, , 
2019/7/18, 14, 43, 5, 1, 
2019/7/19, 16, 45, 6, 1, 
2019/7/20, 15, 42, 6, 1, 
2019/7/21, 17, 43, 13, 1, 
2019/7/22, 20, 46, 13, 1, 
2019/7/23, 23, 42, 10, 1, 
2019/7/24, 24, 36, 13, 1, 
2019/7/25, 21, 46, 8, 1, 
2019/7/26, 21, 37, 5, , 
2019/7/27, 20, 36, 3, 1, 
2019/7/28, 9, 34, 3, 1, 
2019/7/29, 11, 35, 6, 1, 
2019/7/30, 18, 33, 6, , 
2019/7/31, 19, 45, 4, , 
2019/8/1, 18, 57, 4, 1, 
2019/8/2, 17, 53, 2, 1, 
2019/8/3, 15, 54, 3, 1, 
2019/8/4, 15, 54, 6, 1, 
2019/8/5, 18, 40, 5, , 
2019/8/6, 20, 36, 4, , 
2019/8/7, 26, 38, 3, 1, 
2019/8/8, 28, 41, 4, 1, 
2019/8/9, 26, 37, 4, , 
2019/8/10, 22, 39, 3, 1, 
2019/8/11, 20, 41, 3, , 
2019/8/12, 15, 40, 2, , 
2019/8/13, 10, 39, 2, 1, 
2019/8/14, 15, 36, 3, 1, 
2019/8/15, 19, 32, 3, , 
2019/8/16, 15, 35, 2, 1, 
2019/8/17, 15, 34, 3, 1, 
2019/8/18, 15, 30, 2, , 
2019/8/19, 16, 38, 2, , 
2019/8/20, 11, 42, 2, 1, 
2019/8/21, 14, 47, 3, 1, 
2019/8/22, 18, 47, 5, 1, 
2019/8/23, 14, 53, 9, 2, 
2019/8/24, 18, 48, 3, 1, 
2019/8/25, 18, 44, 7, 2, 
2019/8/26, 18, 37, 4, , 
2019/8/27, 19, 44, 5, 1, 
2019/8/28, 16, 47, 3, 1, 
2019/8/29, 18, 49, 7, 1, 
2019/8/30, 17, 54, 3, 1, 
2019/8/31, 19, 42, 6, 1, 
2019/9/1, 17, 36, 6, 1, 
2019/9/2, 15, 37, 6, 1, 
2019/9/3, 12, 49, 8, 2, 
2019/9/4, 18, 39, 4, 1, 
2019/9/5, 19, 35, 5, 1, 
2019/9/6, 19, 40, 3, 1, 
2019/9/7, 15, 37, 2, , 
2019/9/8, 14, 34, 3, 1, 
2019/9/9, 11, 32, 3, , 
2019/9/10, 11, 39, 2, , 
2019/9/12, 8, 52, 5, , 
