date,pm10,no2,year,month,day,week,season,season_name,estado_trafico,diadelasemana,findesemana,PCA1,PCA2,PCA3,PCA4
2018-11-29,30.0,24.0,2018,11,29,48,4,Autumn,2.157151819322459,3,0,-0.8067018643908348,-4.86260704854206,0.8925184656339148,-7.036643050732927
2018-11-30,28.0,18.0,2018,11,30,48,4,Autumn,2.178099480326652,4,0,5.049223185345028,-1.2118570259838435,0.5012567366248535,-6.444981490785692
2018-12-01,16.0,18.0,2018,12,1,48,1,Winter,1.9077764751856197,5,1,6.207632433304973,-6.7805117364874885,1.3047709014850561,-5.6575104398188545
2018-12-02,16.0,16.0,2018,12,2,48,1,Winter,1.7224537876042043,6,1,4.104919355165649,-6.007733140114499,0.7308428921957162,-3.9026589009784725
2018-12-03,17.0,24.0,2018,12,3,49,1,Winter,2.0941504598221017,0,0,5.992637496423749,-4.688595456209873,1.0662247284341755,-3.886530984620587
2018-12-04,23.0,24.0,2018,12,4,49,1,Winter,2.1051563931422588,1,0,11.114133492603703,-8.844551616422516,1.6368238423771269,-2.130317342503838
2018-12-05,34.0,14.0,2018,12,5,49,1,Winter,2.1720544449170567,2,0,2.269336331705047,-10.96208665646265,2.122307756971798,-4.352117161466058
2018-12-06,20.0,12.0,2018,12,6,49,1,Winter,1.6579533272862208,3,0,12.348051766143971,-12.867995391429849,2.834768113703288,-3.8944115142126883
2018-12-07,10.0,15.0,2018,12,7,49,1,Winter,1.940621452894438,4,0,8.310542521707507,-11.491774821851727,3.070733957051728,-6.095359048752038
2018-12-08,10.0,17.0,2018,12,8,49,1,Winter,1.7127106141781194,5,1,75.23791948280152,-9.732509861255254,5.2519098876561054,-4.100912385758357
2018-12-09,14.0,23.0,2018,12,9,49,1,Winter,1.639973636513429,6,1,5.218955339250493,-10.793462256074678,2.8522029261416044,-5.141351478287364
2018-12-10,21.0,27.0,2018,12,10,50,1,Winter,2.091964937910884,0,0,10.43091443298693,-15.561078114283365,4.701458573878945,-6.611028248218897
2018-12-11,31.0,26.0,2018,12,11,50,1,Winter,2.120158606528358,1,0,-21.606011098092203,-10.341970969596538,1.6867752420010345,-8.40619418144427
2018-12-12,32.0,26.0,2018,12,12,50,1,Winter,2.1027405753968256,2,0,74.99028234334563,0.742034189812428,1.8417566625460267,-3.976815096186563
2018-12-13,33.0,23.0,2018,12,13,50,1,Winter,2.202227266278905,3,0,9.57916066633676,11.640828182734213,2.5130731796698864,-6.544874405676127
2018-12-14,23.0,17.0,2018,12,14,50,1,Winter,2.1863535385591875,4,0,11.983473199703703,3.7906482091673,-0.9877085010993931,-7.453827714824079
2018-12-15,14.0,15.0,2018,12,15,50,1,Winter,1.9467608654513344,5,1,8.162182882941906,-6.063667343830898,1.5744202965207559,-6.308610444384019
